PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Delay_Days,Discount_Percent,Defect_Rate,Total_Spend
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0.0,Yes,8.0,11.525086934923003,0.0,20944.559999999998
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,10.0,5.035605289928782,0.15573227302849568,56346.060000000005
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,20.0,3.4027850486860016,0.045054945054945054,83956.6
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,19.0,4.336504757135702,0.08333333333333333,128378.87999999999
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,12.0,5.525206805056957,0.14491525423728813,71425.4
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,12.0,8.149111400086683,0.03406113537117904,72787.65
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,11.0,6.910648238271359,0.05411499436302142,84832.68000000001
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,14.0,11.237476306525856,0.02010968921389397,35861.32
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,4.0,9.196448895970862,0.052725118483412325,67334.32
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,12.0,8.676987121113571,0.04678362573099415,12004.2
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,15.0,6.128169193527823,0.0036,368400.00000000006
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,14.0,2.675359712230211,0.023,432900.0
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,17.0,13.69610329721005,0.0102,374300.0
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,0.0,Yes,,7.759562841530064,0.0,84400.0
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,18.0,11.100917431192656,0.0044,242250.0
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0.0,Yes,15.0,1.881894873458799,0.0,75600.0
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,19.0,9.831004224894373,0.1466325660699062,65089.770000000004
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0.0,Yes,8.0,1.689976689976685,0.0,46611.81
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,3.0,10.4173074951297,0.04548071387449626,151761.69
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0.0,No,15.0,14.975951027547008,0.0,7000.2
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,15.0,4.1382667964946345,0.02824207492795389,34162.15
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0.0,Yes,13.0,4.733253108704371,0.0,32822.5
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,16.0,4.771912473729756,0.03540903540903541,63087.57
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,6.0,8.575761753757066,0.10687022900763359,26059.83
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,12.0,5.6807511737089245,0.10287539936102237,31440.85
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,11.0,9.973890339425589,0.0,25635.879999999997
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,20.0,14.117647058823538,0.019883040935672516,57421.799999999996
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,9.0,7.5306479859894875,0.01839080459770115,6890.4
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,17.0,11.954354088189682,0.14782608695652175,100529.55
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,,8.988206083178143,0.029850746268656716,73676.55
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,14.0,12.044198895027632,0.0,5189.92
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,8.0,11.22448979591837,0.02106969205834684,19324.44
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,16.0,3.406734472203025,0.03732809430255403,49790.38
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,1.0,10.264832683227263,0.01946647440519106,60625.770000000004
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,8.0,6.919594740245745,0.0,3065.78
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,8.0,7.078536418556945,0.029801324503311258,24619.039999999997
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,19.0,8.207755676110109,0.02258469259723965,72821.89
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,18.0,10.186740440667908,0.10375275938189846,82355.40000000001
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,14.0,5.438966844654161,0.030599755201958383,124429.1
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,,14.325842696629218,0.026717557251908396,20776.6
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,12.0,13.610798650168737,0.08480565371024736,17387.52
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,9.0,4.030071481390185,0.060714285714285714,43607.200000000004
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,8.0,8.564271175825896,0.04843304843304843,102492.0
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,7.0,13.251533742331281,0.030987734021949646,65708.58
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,18.0,2.9978366127536797,0.16421895861148197,70525.84
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,,8.810990052108004,0.014634146341463415,19731.25
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,7.0,14.990798059227037,0.10290948275862069,94303.36
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,16.0,1.570680628272264,0.016736401673640166,2695.92
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,19.0,12.166285278413417,0.16583912611717974,46382.420000000006
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,,5.370370370370366,0.024456521739130436,11282.88
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,10.0,13.164893617021272,0.0,19727.13
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,,5.907575035731294,0.16666666666666666,12087.0
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,10.0,12.780918240727978,0.024628014366341714,123293.73999999999
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,6.0,1.937885010266947,0.1597560975609756,125312.4
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,18.0,11.169822398356073,0.10326499620349279,79704.84000000001
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,2.0,5.835149593818111,0.0340522133938706,83739.05
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,,11.504241671839427,0.13054499366286437,67491.06
